token,状态,产品系列/类型,依据,移动行数,处理时间,备注
MPC2,done,过滤调节器,官网搜索+本地资料：Compressed Air Filter Regulator,1,2026-07-05T00:49:24,batch-35
BDV1,done,排污阀,官网搜索：BDV1 and BDV2 Blowdown/Depressurisation Valves,1,2026-07-05T00:49:24,batch-35
CSM-500,done,洁净蒸汽发生器,官网搜索：CSM clean steam generator,1,2026-07-05T00:49:24,batch-35
DF3,done,消音器,官网搜索+本地资料：Trap Diffuser / DF 消音器,1,2026-07-05T00:49:24,batch-35
IN25,done,喷射器,官网搜索+本地资料：Steam Injectors IN15 IN25 IN40M,1,2026-07-05T00:49:24,batch-35
LT2010,done,变送器,官网搜索：Level Transmitter LT2010,1,2026-07-05T00:49:24,batch-35
SP2,done,阀门定位器,官网搜索：Electropneumatic Smart Valve Positioner,1,2026-07-05T00:49:24,batch-35
ISA100,done,监测器,官网搜索+本地资料：STAPS steam trap monitoring system,2,2026-07-05T00:49:24,batch-35
VHT8,done,排空帽,本地资料库：VHT 排空帽,1,2026-07-05T00:49:24,batch-35
FLUJO1,done,观视镜,关键词语义：visor de flujo = 观视镜,1,2026-07-05T00:49:24,batch-35
CI-125,done,过滤器,官网搜索：Cast Iron Strainers CI-125,2,2026-07-04T18:17:55.274Z,batch-40
CFS26,done,过滤器,本地/官网型号语义确认：CFS26 clean steam/filter model term,1,2026-07-04T18:35:39,batch-41
SP303,done,阀门定位器,本地/语义确认：SP positioner model family,2,2026-07-04T18:42:32,batch-42
SP400LS,done,阀门定位器,本地型号表 SP400 positioner family variant,1,2026-07-04T18:42:32,batch-42
BS1A,done,截止阀,本地型号表 BSA1 波纹管密封截止阀的明显变体,1,2026-07-04T18:47:33,batch-43
VB14INSTAL,done,破真空器,本地型号表 VB14 vacuum breaker 变体,1,2026-07-04T18:47:33,batch-43
VHT2,done,排空帽,本地 VHT8 排空帽证据推定同系列,1,2026-07-04T18:47:33,batch-43
EV141,done,电磁阀,官网搜索结果：EV141 / EV142 MAGNEETVENTIEL / ELECTRO-DISTRIBUTEUR 3/2-5/2,1,2026-07-04T18:50:53,batch-44
MST18,done,疏水阀,官网搜索结果：MST18 Steam Trap / Purgador de vapor MST18,2,2026-07-05T00:00:00,batch-45
BPS32YCV,done,疏水阀,官网搜索结果：BPC32YCV / BPS32Y balanced pressure thermostatic steam traps,1,2026-07-05T01:00:00,batch-46
SI2,done,球阀,官网搜索结果：M10Si2 RB ISO ball valve,1,2026-07-05T01:00:00,batch-46
N2000,done,执行器,官网搜索结果：TN2000 / PN2000 pneumatic actuators,1,2026-07-05T01:00:00,batch-46
SDCV44,done,止回阀,官网搜索结果：SDCV44 split disc check valve,1,2026-07-05T01:00:00,batch-46
SG2,done,观视镜,官网搜索结果：SG1 SG2 sight glass / wzierniki,1,2026-07-05T01:00:00,batch-46
T3,done,疏水阀,官网搜索结果：T3 bimetallic steam trap,1,2026-07-05T01:00:00,batch-46
PT2,done,管道连接器,官网搜索结果：PT1/PT2/PT3 plug tails / connectors,1,2026-07-05T01:00:00,batch-46
PT1,done,管道连接器,官网搜索结果：PT1/PT2/PT3 plug tails / connectors,1,2026-07-05T01:00:00,batch-46
SS1,done,感应器,官网搜索结果：SS1 Spiratec sensor,1,2026-07-05T01:00:00,batch-46
TH-125,done,疏水阀,官网搜索结果：RTH-125 balanced pressure steam trap,1,2026-07-05T01:00:00,batch-46
DLV75,done,减压阀,官网搜索结果：DLV7 direct acting pressure reducing valve，按 DLV 75 间隔/误写归并,1,2026-07-05T01:00:00,batch-46
CI250,done,过滤器,官网搜索结果：Cast Iron Strainers CI-250,1,2026-07-05T02:00:00,batch-47
FIG106,done,球阀,官网搜索结果：Válvula de esfera Fig.106,1,2026-07-05T02:00:00,batch-47
DFG300,done,排污阀,官网搜索结果：DFG300 boiler blowdown valves,1,2026-07-05T02:00:00,batch-47
B5-125,done,疏水阀,本地型号表：B5-125 inverted bucket steam trap,1,2026-07-05T02:00:00,batch-47
M20,done,球阀,官网搜索结果：M20S/M20H ball valves,1,2026-07-05T03:00:00,batch-48
M111,done,流量计,官网搜索结果：M111 SPIRAFLO variable area flow meter / medidor de vazao,1,2026-07-05T03:00:00,batch-48
M140,done,球阀,官网搜索结果：M140Fa ball valve,1,2026-07-05T03:00:00,batch-48
S2000,done,流量计算机,官网搜索结果：Scanner 2000 steam mass flow transmitter / flow computer,4,2026-07-05T04:00:00,batch-49
25SERIES,done,减压阀,官网搜索结果：25 Series pressure regulator / regulators,1,2026-07-05T04:00:00,batch-49
SV,done,安全阀,官网搜索结果：SV safety valves / Sicherheitsventile,1,2026-07-05T04:00:00,batch-49
BC,done,排污控制器,官网搜索结果：BC 3000 / BC 3200 / BC 3210 blowdown controllers,1,2026-07-05T04:00:00,batch-49
CP,done,电导率感应器,官网搜索结果：CP10/CP30/CP40 conductivity probe/electrode,1,2026-07-05T04:00:00,batch-49
THERMOTON,done,疏水阀,官网搜索结果：Thermoton Liquid Expansion Steam Traps,1,2026-07-05T05:00:00,batch-50
CE43,done,控制阀,官网搜索结果：CE43 carbon steel cage design two-port control valves,2,2026-07-05T05:00:00,batch-50
IL1,done,润滑器,官网搜索结果：IL1/IL1M compressed air lubricator,1,2026-07-05T05:00:00,batch-50
INS15,done,喷射加热系统,本地型号表：INS 蒸汽直接喷射加热系统，INS15 作为同族变体处理,1,2026-07-05T05:00:00,batch-50
PRS,done,减压阀,官网搜索结果：Pressure Reducing and Surplussing Valves,1,2026-07-05T05:00:00,batch-50
SX65,done,过程控制器,官网搜索结果：SX65 Series Temperature Controller,1,2026-07-05T05:00:00,batch-50
WCV,done,止回阀,官网搜索结果：WCV wafer/swing check valves,1,2026-07-05T05:00:00,batch-50
MKII,done,混合阀,官网搜索结果：MkII steam/water mixing valve/station,2,2026-07-05T05:00:00,batch-50
BLOCKS,done,双切断排放阀,官网搜索结果：SafeBloc DBB3 double block and bleed valve,2,2026-07-05T06:00:00,batch-51
PILOT-P,done,减压阀,官网搜索结果：25P pilot operated pressure regulator / Piloto P,1,2026-07-05T06:00:00,batch-51
S25,done,减压阀,官网搜索结果：25P/25PSS pressure reducing regulators/station；按 Series 25 间隔变体处理,1,2026-07-05T06:00:00,batch-51
14HP,done,过滤器,官网搜索结果：Fig 14HP carbon steel Y-type strainer,1,2026-07-05T06:00:00,batch-51
34HP,done,过滤器,官网搜索结果：Fig 34HP carbon steel Y-type strainer,1,2026-07-05T06:00:00,batch-51
SIPHON,done,显示器,官网搜索结果：pressure gauge/manometer siphon accessory,1,2026-07-05T06:00:00,batch-51
PT,done,变送器,官网搜索结果：Pressure Transmitter Model PT,1,2026-07-05T07:00:00,batch-52
S4A,done,汽水分离器,官网搜索结果：S4A fabricated steel separator / moisture separator,1,2026-07-05T07:00:00,batch-52
125YF,done,疏水阀,官网搜索结果：SMC32YF/BPC32YF steam traps；按 YF trap 变体查询处理,1,2026-07-05T07:00:00,batch-52
ACTUADAS,done,减压阀,官网搜索结果：válvulas redutoras de pressão auto-actuadas,1,2026-07-05T07:00:00,batch-52
ACTUADAS-ON-OFF,done,活塞阀,官网搜索结果：piston actuated on/off valves,1,2026-07-05T07:00:00,batch-52
DP,done,减压阀,官网搜索结果：DP Type Valve / DP pilot operated pressure reducing valves,1,2026-07-05T08:00:00,batch-53
GSA,done,截止阀,官网搜索结果：GSA globe/stop valves,4,2026-07-05T08:00:00,batch-53
D16,done,疏水阀,官网搜索结果：TD16 thermodynamic steam trap，按漏 T 变体处理,1,2026-07-05T08:00:00,batch-53
LANZAS,done,空气加湿器,官网搜索结果：Type 20/40 direct steam injection humidifier lances,1,2026-07-05T08:00:00,batch-53
5S,done,减压阀,官网搜索结果：25S self-operated valves，按漏 2 变体处理,1,2026-07-05T08:00:00,batch-53
UV,done,溢流阀,官网搜索结果：UV 3.5/S/Z overflow/surplussing valves,2,2026-07-05T09:00:00,batch-54
RP,done,活塞阀,官网搜索结果：RP31/RP32/RP33 piston valves,1,2026-07-05T09:00:00,batch-54
BDV980,done,排污阀,官网搜索结果：BDV blowdown/depressurisation valves；按 BDV 系列查询处理,1,2026-07-05T09:00:00,batch-54
B-2-180,done,疏水阀,Existing moved keyword: B-2-180 in-line horizontal bucket trap cover; treated as bucket trap family,1,2026-07-05T11:20:00,batch-58
SPS,done,冷凝水回收装置,Official search result: SPS Series Stainless Steel Condensate Recovery Units,1,2026-07-05T12:30:00,batch-61
SIL,done,过滤器,Official search result: sil/strainer result headed Fig 14 strainer/filter in steel,1,2026-07-05T12:30:00,batch-61
AF,done,显示器,Official search result: Auswertegerät / Fernanzeige AF for TVA/TFA flowmeters,1,2026-07-05T13:00:00,batch-62
B5,done,疏水阀,本地型号表：B5 inverted bucket steam trap; B-series trap evidence,1,2026-07-05T14:00:00,batch-63
BDHR,done,排污控制系统,Official search result: Blowdown Heat Recovery Modules BDHR Series,1,2026-07-05T14:00:00,batch-63
TT4,done,零件物料号,Official search returned 0 results; code-style query,1,2026-07-05T14:00:00,batch-63
27P,done,零件物料号,Official 27P search returned 0 results; code-style query,2,2026-07-05T14:00:00,batch-63
H12,done,零件物料号,Official H12 search returned 0 results; code-style query,1,2026-07-05T14:00:00,batch-63
5L B1,done,零件物料号,Official search was fuzzy/unrelated with no exact product evidence,1,2026-07-05T14:00:00,batch-63
BBU43,done,零件物料号,Official BBU43 search returned 0 results; code-style query,2,2026-07-05T14:00:00,batch-63
BTH,done,零件物料号,Official BTH search returned 0 results; code-style query,1,2026-07-05T14:00:00,batch-63
BVL306,done,零件物料号,Official BVL306 search returned 0 results; code-style query,1,2026-07-05T14:00:00,batch-63
6A,done,排空气阀,Official search result: 6A Air Vent,1,2026-07-05T14:30:00,batch-64
HL,done,保护装置,Official search result: HL17 High Limit Cut-out / protection valve,1,2026-07-05T14:30:00,batch-64
ESD,done,零件物料号,Official search returned fuzzy display/control/service results; no exact product evidence,1,2026-07-05T14:30:00,batch-64
MOS,done,零件物料号,Official search returned fuzzy multilingual substrings; no exact product evidence,1,2026-07-05T14:30:00,batch-64
OCC,done,零件物料号,Official search returned fuzzy Italian substrings; no exact product evidence,2,2026-07-05T14:30:00,batch-64
S30,done,零件物料号,"Official search matched LCS3050/LCS3051 substrings, not exact S30 evidence",1,2026-07-05T14:30:00,batch-64
CR,done,零件物料号,Official search returned BCR/LCR/Cr material substrings; no exact CR evidence,1,2026-07-05T15:00:00,batch-65
DURAMIX 8000,done,噪声与无效查询,Official search only returned unrelated 8000-series substring results; no exact DuraMix evidence,1,2026-07-05T15:00:00,batch-65
DV41,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:00:00,batch-65
DVC41,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:00:00,batch-65
E500,done,零件物料号,Official search returned CRU 200/500 and SP500 substrings; no exact E500 evidence,1,2026-07-05T15:00:00,batch-65
E12,done,零件物料号,Official search returned fuzzy unrelated results; no exact E12 evidence,1,2026-07-05T15:00:00,batch-65
EA,done,零件物料号,Official search returned broad substrings; no exact EA evidence,1,2026-07-05T15:00:00,batch-65
EA14E,done,零件物料号,Official search returned FT46 substring results; no exact EA14E evidence,1,2026-07-05T15:00:00,batch-65
EEU,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:00:00,batch-65
EP305,done,零件物料号,Official search returned 0 results; specification-heavy variant already archived separately,2,2026-07-05T15:00:00,batch-65
EV41,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:00:00,batch-65
FLR,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:00:00,batch-65
LP-ST-4,done,零件物料号,"Official search matched LP10-4/LP11-4, not exact LP-ST-4",1,2026-07-05T15:30:00,batch-66
LT10-4,done,零件物料号,"Official search matched LP10-4/LP11-4, not exact LT10-4",1,2026-07-05T15:30:00,batch-66
M1 V2,done,零件物料号,Official search returned BRV2/M10 substrings; no exact evidence,1,2026-07-05T15:30:00,batch-66
M250,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:30:00,batch-66
M60 TI,done,零件物料号,Official search returned TM600/fuzzy substrings; no exact evidence,1,2026-07-05T15:30:00,batch-66
M7IV,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:30:00,batch-66
MST 30 AC,done,零件物料号,Official search returned MST21/TN2000 substrings; no exact evidence,1,2026-07-05T15:30:00,batch-66
MTS 30 AC,done,零件物料号,Official search returned TA10/TN2000/MST-like substrings; no exact evidence,1,2026-07-05T15:30:00,batch-66
P20,done,零件物料号,"Official search matched LP20/PA20; P20 alone ambiguous, no exact evidence",1,2026-07-05T15:30:00,batch-66
PA42P,done,零件物料号,Official search returned 0 results,1,2026-07-05T15:30:00,batch-66
PT-25,done,零件物料号,Official search matched Model PT and 25-series substrings; no exact evidence,1,2026-07-05T15:30:00,batch-66
SCV,done,调节阀,Official search result: SCVH Series Steam Conditioning Valve,1,2026-07-05T16:00:00,batch-67
PURGA,done,排污罐,Official search top results: Tanques de Purga / blowdown tanks,1,2026-07-05T16:00:00,batch-67
SG,done,材料牌号,"Official top results are SG iron material signals, not a single product",1,2026-07-05T16:00:00,batch-67
RB12,done,零件物料号,Official search returned 0 results,1,2026-07-05T16:00:00,batch-67
SCV8,done,零件物料号,Official search returned 0 results,1,2026-07-05T16:00:00,batch-67
SII,done,零件物料号,Official search returned fuzzy substrings; no exact evidence,1,2026-07-05T16:00:00,batch-67
SV900,done,零件物料号,Official search mixed SV valves and 900-series substrings; no exact evidence,1,2026-07-05T16:00:00,batch-67
T25,done,零件物料号,"Official search matched T250 only, not exact T25",1,2026-07-05T16:00:00,batch-67
VCV-2,done,零件物料号,Official search returned broad substrings; no exact evidence,1,2026-07-05T16:00:00,batch-67
VM13,done,零件物料号,Official search returned 0 results,1,2026-07-05T16:00:00,batch-67
VRV-25,done,零件物料号,Official search returned 25-series substrings; no exact evidence,1,2026-07-05T16:00:00,batch-67
HR,done,招聘雇主信息,Official search led with HR Manager / hiring result,1,2026-07-05T16:30:00,batch-68
IR,done,投资者财务,Corporate/investor-style IR query; no product evidence,1,2026-07-05T16:30:00,batch-68
A125,done,零件物料号,Official search returned broad unrelated substrings; no exact TA125 evidence,1,2026-07-05T16:30:00,batch-68
D17G,done,零件物料号,Official search returned broad unrelated substrings; no exact D17G evidence,1,2026-07-05T16:30:00,batch-68
PIOTO T2,done,噪声与无效查询,Typo/noise query; no stable product intent,1,2026-07-05T16:30:00,batch-68
B SERIES,done,疏水阀,B Series inverted bucket steam trap evidence; existing B4/B5/B-2-180 variants split to steam traps,1,2026-07-05T17:00:00,batch-69
600 SERIES,done,疏水阀,Official search primary result: 600 and 900 Series Inverted Bucket Steam Traps,1,2026-07-05T17:00:00,batch-69
TYPE 20,done,空气加湿器,Official result: Type 20 and Type 40 Direct Steam Injection Humidifiers,1,2026-07-05T17:00:00,batch-69
TYPE 40,done,空气加湿器,Official result: Type 20 and Type 40 Direct Steam Injection Humidifiers,1,2026-07-05T17:00:00,batch-69
